id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
683,Dupont Circle,3/10/2017,F,1,1,Entire home/apt,4,1 bath,1,2,95,31,41,4.49
689,Foggy Bottom,9/4/2012,F,0.78,6,Entire home/apt,4,1 bath,,2,77,31,261,4.78
695,Capitol Hill,9/5/2012,T,1,1,Entire home/apt,2,1 bath,,1,162,1,218,4.95
697,Union Station,9/24/2012,T,1,2,Entire home/apt,6,3.5 baths,4,4,614,3,60,4.97
706,Union Station,8/17/2014,T,1,1,Entire home/apt,3,1 bath,1,2,138,1,249,4.87
707,Union Station,9/23/2016,T,,27,Entire home/apt,4,1 bath,1,2,179,2,96,4.88
708,Union Station,4/11/2013,T,0.94,3,Entire home/apt,4,1.5 baths,2,3,249,2,19,4.83
709,Union Station,4/11/2013,T,0.94,3,Entire home/apt,2,1 bath,,2,74,2,152,4.53
710,Shaw,2/26/2013,T,1,8,Entire home/apt,4,1 bath,1,2,150,2,43,4.79
711,Capitol Hill,7/19/2012,F,0,2,Entire home/apt,4,2.5 baths,2,3,210,7,3,5
715,Dupont Circle,7/29/2015,F,0.99,339,NA,2,1 private bath,,1,120,1,390,4.77
716,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,2,1 bath,,1,172,31,129,4.81
717,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,2,1.5 baths,1,1,132,31,94,4.73
718,Foggy Bottom,9/14/2015,F,0.92,6,Entire home/apt,2,1 bath,1,1,204,31,290,4.68
719,Capitol Hill,5/11/2016,T,0.97,8,Entire home/apt,5,1 bath,1,3,250,2,18,4.94
722,Union Station,6/21/2016,F,0.43,2,Entire home/apt,5,2 baths,3,3,115,31,3,5
723,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,4,2.5 baths,2,2,280,31,157,4.9
725,Union Station,4/1/2015,F,,1,Entire home/apt,4,1.5 baths,1,2,120,31,4,5
727,Capitol Hill,4/29/2017,T,1,2,Entire home/apt,3,1 bath,,2,128,2,243,4.84
729,Union Station,4/11/2013,T,0.94,3,Entire home/apt,6,2.5 baths,3,3,386,2,80,4.75
733,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,,1,116,1,371,4.78
735,Georgetown,5/16/2015,F,,2,Entire home/apt,2,1 bath,1,1,105,31,79,4.75
736,Shaw,5/11/2017,T,0.98,1,Entire home/apt,5,1 bath,1,2,165,1,601,4.89
739,Union Station,5/15/2017,F,,1,Entire home/apt,4,1.5 baths,2,2,1200,31,13,5
740,Georgetown,9/14/2014,T,0.95,1,Entire home/apt,3,1.5 baths,2,1,343,4,52,4.88
741,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,3,1 bath,1,1,217,1,110,4.78
742,Capitol Hill,7/20/2016,T,0.99,1,Entire home/apt,3,1 bath,1,1,72,2,324,4.87
745,Union Station,3/31/2014,T,0.99,9,Entire home/apt,6,1 bath,2,2,205,2,185,4.67
749,Capitol Hill,9/26/2015,F,,1,Shared room,1,1 shared bath,,1,58,31,13,4.92
751,Union Station,8/27/2012,T,0.98,1,Entire home/apt,5,1.5 baths,1,2,140,3,130,5
752,Union Station,3/31/2014,T,0.99,9,Entire home/apt,6,1 bath,2,2,168,2,144,4.81
756,Georgetown,6/4/2017,F,,1,Entire home/apt,6,1.5 baths,2,4,239,31,82,4.48
757,Dupont Circle,4/27/2016,F,0.81,44,Entire home/apt,2,1 bath,1,1,90,31,61,4.87
758,Dupont Circle,7/29/2015,F,0.99,339,Private room,2,1 private bath,1,1,105,1,472,4.82
759,Dupont Circle,3/11/2015,T,1,4,Entire home/apt,9,2 baths,4,4,486,2,30,4.83
760,Union Station,11/27/2013,T,1,30,Entire home/apt,8,2.5 baths,4,3,473,31,54,4.85
761,Foggy Bottom,7/27/2016,F,,1,Entire home/apt,2,1 bath,,1,99,31,8,5
762,Union Station,12/21/2016,F,,6,Entire home/apt,5,1 bath,2,3,165,31,85,4.46
764,Capitol Hill,12/10/2011,T,0.93,5,Entire home/apt,4,1 bath,1,1,79,31,193,4.94
765,Capitol Hill,8/21/2011,T,1,2,Entire home/apt,4,1 bath,2,2,205,2,156,4.92
766,Dupont Circle,5/4/2016,F,,3,Entire home/apt,4,1 bath,1,2,105,31,3,5
767,Union Station,1/15/2009,F,,2,Entire home/apt,4,2 baths,2,2,125,31,6,5
769,Union Station,12/8/2014,T,0.96,1,Entire home/apt,4,1 bath,1,2,150,1,217,4.8
770,Capitol Hill,7/29/2015,F,0.99,339,Entire home/apt,3,1 bath,1,2,128,2,251,4.89
771,Union Station,3/31/2014,T,0.99,9,Entire home/apt,2,1 bath,1,1,157,1,176,4.86
773,Shaw,6/25/2017,F,,1,Entire home/apt,2,1 bath,,2,107,45,1,5
775,Dupont Circle,6/11/2016,F,,2,Private room,2,1 shared bath,,1,85,31,3,5
778,Dupont Circle,10/12/2016,F,,3,Entire home/apt,2,1 bath,,1,200,31,1,3
780,Capitol Hill,5/10/2015,T,1,2,Entire home/apt,8,3 baths,3,4,346,3,156,4.98
